Date,Ag,Mine,Manu,Util,Cons,Wtrade,Rtrade,Hotel,Trans,ITC,Fin,Realest,Sci,Adm,Pub,Educ,Health,Arts,OtherS,Total
Nov-84,410.7,94.1,1098.8,152.1,448.3,347.9,702.1,329.6,387.2,158.1,261.7,80,258.2,122,381.9,459.1,536.8,70.6,277,6576.1
Feb-85,404.8,95.2,1095.4,142.2,478,355.8,685.4,324.9,401.2,160.1,266.1,87,264.4,121.7,386.9,431.3,541,73.2,280.9,6595.7
May-85,394.5,92.9,1080.5,143,492.1,347.2,707.1,328.5,404.2,164.5,278.8,90.4,272.6,126.2,389.7,456.8,528,74.4,286.5,6657.9
Aug-85,413.7,101.6,1057.2,148,476.7,355.6,697.6,319.5,417.2,165.8,282.9,94.2,273.5,125.1,389,465.3,536.4,72.9,283.2,6675.5
Nov-85,433.6,108.8,1085.8,152.7,477,360,739,344.4,406.2,165.2,290.2,97.4,280,134,381.9,481.7,559.3,82.6,302.2,6881.9
Feb-86,420.6,109.2,1095,158.7,468.4,354.1,737.1,342.5,404.6,165.5,302.5,89.4,292.8,131.5,395.4,438.8,576.9,76,303,6861.9
May-86,434,103.7,1091.4,152.5,496.2,362.4,758.9,348,411.5,166.1,302.2,84,293,138.6,400.4,459.5,587.8,76.2,312.6,6979
Aug-86,414.5,95.5,1070.2,147.2,498.4,359.6,740.2,351.6,436.2,170.2,307.1,85.1,286.9,133,393.2,481.8,567.5,77.9,302.4,6918.5
Nov-86,427.7,99.7,1069.8,143.4,495.7,369.5,777.3,357.7,433.7,164.8,299.8,91.4,302,141.9,401,494.7,575.7,81.3,307.1,7034.2
Feb-87,421.8,105.4,1074.8,144.8,510.5,370.3,758.7,356.4,417.4,163.1,305.1,86.9,314.8,143.4,404,462.9,593.4,83.2,305.5,7022.3
May-87,415.1,103.5,1087.5,136.8,514.2,371.3,752.3,369.3,416,165.7,314.9,94.8,311.6,144.8,416.1,497.5,596.4,83.7,312.2,7103.5
Aug-87,402,98.5,1089.1,130.4,492.9,376,749.7,369.5,408.6,165.4,333.5,94.8,313.1,147.2,426.3,497.8,599.4,82,316,7092.3
Nov-87,406.2,100,1118.4,134.8,498,367.7,807.2,384,415.5,169.6,325.7,89.6,311.7,145,417.1,496.4,577.1,87.2,331,7182.2
Feb-88,428.6,98.3,1111.6,144.9,514.2,378.5,797.8,393.6,428.2,168.9,334.4,96,322.6,147.4,412.9,466.2,584.6,84.9,333.7,7247.3
May-88,428.4,93.9,1114.6,128.3,528.6,392.8,810.2,398.1,414,168.1,334,101.9,333.9,152.3,420.1,497,613.8,84.3,340.4,7354.8
Aug-88,426.7,95.3,1135.6,124.7,534,397.7,798.7,398.6,409.1,169.7,329.9,107,338.1,154.4,399.1,493.7,623.1,82.4,335.6,7353.3
Nov-88,438.5,95.3,1144.8,127.3,566.4,404,825,412.9,411,175.9,334,108.3,341.8,160.6,406.8,504.8,622,84.5,344.8,7508.6
Feb-89,432.6,100,1149.4,133.6,588.2,409.8,845.1,406.1,423.5,176.1,350.3,114.8,345.8,157.7,396.7,469.7,641.7,89.5,336,7566.5
May-89,431.4,100.9,1171.2,135.7,598.5,412.4,840.8,421.2,419.2,174.1,356.2,114.8,343.7,163.6,410,512.3,672.2,96.2,346.7,7720.8
Aug-89,406.5,104.9,1165.1,124.6,604.7,422.9,847.1,419.6,438.6,179.7,348.9,125.8,357.7,164.3,406.6,522.9,633.8,96.3,345.2,7715.3
Nov-89,430.3,106.6,1165,119.5,611.8,431.1,875.5,438.9,431.4,177.6,349.6,128.4,371.9,170.7,418.1,532.9,634.6,103.8,364.7,7862.4
Feb-90,422.3,104.8,1143.9,118.3,619.9,423.8,871.9,446.1,422.3,168,361.6,131.4,381.7,164.5,429.5,513.6,631.5,95.4,352.4,7803
May-90,443,99.1,1134.5,119.2,576.9,433.8,886.5,456,418.6,176.4,379.8,129.5,361.1,169.7,455.8,559.5,653.6,94,361.3,7908.5
Aug-90,424,95.2,1125.5,116.8,587.4,431.6,846.1,435.2,433.2,180.4,371.6,118.3,365.1,176,454.7,545.1,667,87,347.8,7808
Nov-90,453.7,95.1,1114.3,116.2,587.6,426.5,864.2,447.5,424.8,178.2,352.7,117,370.9,174.4,446.4,537.1,673.7,90.5,356.2,7826.9
Feb-91,427,101.5,1081.3,114.2,572.6,437.6,842.9,449.1,427.4,179,342.1,117.4,376.4,176,442.5,516.5,656.8,93.4,355,7708.8
May-91,423.4,88.4,1049.6,113.1,544.5,423.6,840.5,464.9,430.4,170.5,352.8,107.6,384.3,180.7,438.4,544.8,685.3,98.3,362.6,7703.7
Aug-91,387.7,91.7,1040.3,115.2,509.5,417.5,826.1,464.2,421.6,168.8,349.2,112.8,392.3,177.7,448,554.1,691.7,101.5,350.9,7620.7
Nov-91,403.6,82.4,1058.9,114.6,526.5,414.4,828.8,473,414,168.2,338.4,113.2,382.9,180.7,430.7,533.5,695.9,106.8,348.5,7614.9
Feb-92,387.6,88.5,1041.5,121.3,518.2,406.7,842.4,470,407.2,174.1,325.2,114.1,391.3,185.4,442.8,525.1,686.4,103.2,366.2,7597.2
May-92,378.9,86.5,1045.4,123.5,514.8,410.9,856,476.7,401.3,166,331.6,106.9,400,186.2,438.9,563.4,674.2,98.2,371.9,7631.4
Aug-92,377,87.3,1036.5,117.2,523.4,415.6,830.7,465.3,390.8,165.4,335,113.3,398.1,189.6,434.2,569.2,693.6,96.5,374.6,7613.4
Nov-92,394.4,83.2,1067,105.1,527.5,391.8,843.3,461.4,380.5,167.9,319.6,119.5,386.6,188.9,456.2,555.4,690.3,89.9,358.8,7587.4
Feb-93,397.5,81.6,1031.9,110.2,535.2,400.2,854.5,466.4,393.8,160.3,314,118.9,354.6,184.1,474.1,534.1,665.2,91.1,363.3,7531
May-93,368.1,87.5,1031.8,109,545.8,421.3,868.5,471,390.7,164.7,313.3,121.7,355.8,185.5,460.8,574.4,679.3,101.7,369.7,7620.5
Aug-93,390.3,88.1,1017.3,107.2,554.1,424.4,827.7,457.3,384.2,156.4,304,116.4,373.5,184.3,481.5,577.1,692.8,99.5,353.4,7589.4
Nov-93,403.9,90.9,1051.3,106.1,554.4,426.9,861.5,475.8,397.4,167.5,324.5,112,380.1,187.7,456.7,575,700.6,104.9,367.8,7744.9
