Date,Primary,Industry,Employment,name
1984 Q4,A.AFF,01 Agriculture,368.5,Agriculture
1984 Q4,A.AFF,02 Aquaculture,4,Agriculture
1984 Q4,A.AFF,03 Forestry and Logging,9.7,Agriculture
1984 Q4,A.AFF,"04 Fishing, Hunting and Trapping",8.9,Agriculture
1984 Q4,A.AFF,"05 Agriculture, Forestry and Fishing Support Services",19.6,Agriculture
1984 Q4,B.MINING,06 Coal Mining,33.5,Mining
1984 Q4,B.MINING,07 Oil and Gas Extraction,2.9,Mining
1984 Q4,B.MINING,08 Metal Ore Mining,34.1,Mining
1984 Q4,B.MINING,09 Non-Metallic Mineral Mining and Quarrying,10.6,Mining
1984 Q4,B.MINING,10 Exploration and Other Mining Support Services,12.9,Mining
1984 Q4,C.MANU,11Food Product Manufacturing,160.9,Manufacturing
1984 Q4,C.MANU,12Beverage and Tobacco Product Manufacturing,24.8,Manufacturing
1984 Q4,C.MANU,"13Textile, Leather, Clothing and Footwear Manufacturing",123.4,Manufacturing
1984 Q4,C.MANU,14Wood Product Manufacturing,52.8,Manufacturing
1984 Q4,C.MANU,"15Pulp, Paper and Converted Paper Product Manufacturing",32.3,Manufacturing
1984 Q4,C.MANU,16Printing (including the Reproduction of Recorded Media),49.8,Manufacturing
1984 Q4,C.MANU,17Petroleum and Coal Product Manufacturing,6.9,Manufacturing
1984 Q4,C.MANU,18 Basic Chemical and Chemical Product Manufacturing,42.1,Manufacturing
1984 Q4,C.MANU,19Polymer Product and Rubber Product Manufacturing,48.1,Manufacturing
1984 Q4,C.MANU,20Non-Metallic Mineral Product Manufacturing,55.3,Manufacturing
1984 Q4,C.MANU,21Primary Metal and Metal Product Manufacturing,89.7,Manufacturing
1984 Q4,C.MANU,22Fabricated Metal Product Manufacturing,100.8,Manufacturing
1984 Q4,C.MANU,23Transport Equipment Manufacturing,118.8,Manufacturing
1984 Q4,C.MANU,24Machinery and Equipment Manufacturing,126.7,Manufacturing
1984 Q4,C.MANU,25Furniture and Other Manufacturing,65.5,Manufacturing
1984 Q4,D.EGWWS,26Electricity Supply,87.5,"Electricity,Gas"
1984 Q4,D.EGWWS,27Gas Supply,10.3,"Electricity,Gas"
1984 Q4,D.EGWWS,"28Water Supply, Sewerage and Drainage Services",45,"Electricity,Gas"
1984 Q4,D.EGWWS,"29Waste Collection, Treatment and Disposal Services",9.2,"Electricity,Gas"
1984 Q4,E.Const,30 Building Construction,126.9,Construction
1984 Q4,E.Const,31 Heavy and Civil Engineering Construction,57.9,Construction
1984 Q4,E.Const,32 Construction Services,263.5,Construction
1984 Q4,F.Wholesale,"
33 Basic Material Wholesaling",117.7,Wholesale
1984 Q4,F.Wholesale,34 Machinery and Equipment Wholesaling,78.3,Wholesale
1984 Q4,F.Wholesale,35 Motor Vehicle and Motor Vehicle Parts Wholesaling,20.3,Wholesale
1984 Q4,F.Wholesale,"36 Grocery, Liquor and Tobacco Product Wholesaling",58.1,Wholesale
1984 Q4,F.Wholesale,37 Other Goods Wholesaling,69.5,Wholesale
1984 Q4,F.Wholesale,38 Commission-Based Wholesaling,4.1,Wholesale
1984 Q4,G.MVMVPR,39Motor Vehicle and Motor Vehicle Parts Retailing,7.3,Retail Trade
1984 Q4,G.MVMVPR,40 Fuel Retailing,30,Retail Trade
1984 Q4,G.MVMVPR,41 Food Retailing,199.4,Retail Trade
1984 Q4,G.MVMVPR,42 Other Store-Based Retailing,411.4,Retail Trade
1984 Q4,G.MVMVPR,43 Non-Store Retailing and Retail Commission Based Buying and/or Selling,1,Retail Trade
1984 Q4,H.AFS,44 Accommodation,58.6,Accommodation&Food
1984 Q4,H.AFS,45 Food and Beverage Services,270.9,Accommodation&Food
1984 Q4,I.TPW,46 Road Transport,144.2,Transport
1984 Q4,I.TPW,47 Rail Transport,70,Transport
1984 Q4,I.TPW,48 Water Transport,12.5,Transport
1984 Q4,I.TPW,49 Air and Space Transport,30.8,Transport
1984 Q4,I.TPW,50 Other Transport,15.2,Transport
1984 Q4,I.TPW,51 Postal and Courier Pick-up and Delivery Services,67.4,Transport
1984 Q4,I.TPW,52 Transport Support Services,38.6,Transport
1984 Q4,I.TPW,53 Warehousing and Storage Services,8.7,Transport
1984 Q4,J.IMT,54 Publishing (except Internet and Music Publishing),41.5,Media&telecom
1984 Q4,J.IMT,55 Motion Picture and Sound Recording Activities,16.5,Media&telecom
1984 Q4,J.IMT,56 Broadcasting (except Internet),12.9,Media&telecom
1984 Q4,J.IMT,57 Internet Publishing and Broadcasting,0,Media&telecom
1984 Q4,J.IMT,58 Telecommunications Services,73.2,Media&telecom
1984 Q4,J.IMT,"59 Internet Service Providers, Web Search Portals and Data Processing Services",7,Media&telecom
1984 Q4,J.IMT,60 Library and Other Information Services,7,Media&telecom
1984 Q4,K.FIS,62 Finance,166,Financial
1984 Q4,K.FIS,63 Insurance and Superannuation Funds,60.8,Financial
1984 Q4,K.FIS,64 Auxiliary Finance and Insurance Services,34.9,Financial
1984 Q4,L.RHRES,66 Rental and Hiring Services (except Real Estate),22.9,Retal&Realestate
1984 Q4,L.RHRES,67 Property Operators and Real Estate Services,57.1,Retal&Realestate
1984 Q4,M.PSTS,"69 Professional, Scientific and Technical Services (Except Computer System)
Design and Related Services)",244.2,Professional&Scientific
1984 Q4,M.PSTS,70 Computer System Design and Related Services,13.9,Professional&Scientific
1984 Q4,N.ASS,72 Administrative Services,60.8,Administrative
1984 Q4,N.ASS,"73 Building Cleaning, Pest Control and Other Support Services",61.2,Administrative
1984 Q4,O.PAS,75 Public Administration,282.3,Public
1984 Q4,O.PAS,76 Defence,26.4,Public
1984 Q4,O.PAS,"77 Public Order, Safety and Regulatory Services",73.2,Public
1984 Q4,P.EDUTRA,80 Preschool and School Education,326.1,Education
1984 Q4,P.EDUTRA,81 Tertiary Education,106.3,Education
1984 Q4,P.EDUTRA,"82 Adult, Community and Other Education",26.7,Education
1984 Q4,Q.HCSA,84 Hospitals,226,Healthcare
1984 Q4,Q.HCSA,85 Medical and Other Health Care Services,118.3,Healthcare
1984 Q4,Q.HCSA,86 Residential Care Services,111.6,Healthcare
1984 Q4,Q.HCSA,87 Social Assistance Services,80.9,Healthcare
1984 Q4,R.ARS,89 Heritage Activities,70.6,Arts
1984 Q4,R.ARS,90 Creative and Performing Arts Activities,7.8,Arts
1984 Q4,R.ARS,91 Sports and Recreation Activities,35.2,Arts
1984 Q4,R.ARS,92 Gambling Activities,18.3,Arts
1984 Q4,S.Other,94 Repair and Maintenance,152.2,Other
1984 Q4,S.Other,95 Personal and Other Services,114.5,Other
1984 Q4,S.Other,96 Private Households Employing Staff and Undifferentiated Goods- and Service- Producing Activities of Households for Own Use,10.3,Other
1985 Q1,A.AFF,01 Agriculture,362.5,Agriculture
1985 Q1,A.AFF,02 Aquaculture,3.7,Agriculture
1985 Q1,A.AFF,03 Forestry and Logging,12.8,Agriculture
1985 Q1,A.AFF,"04 Fishing, Hunting and Trapping",8.3,Agriculture
1985 Q1,A.AFF,"05 Agriculture, Forestry and Fishing Support Services",17.5,Agriculture
1985 Q1,B.MINING,06 Coal Mining,30.4,Mining
1985 Q1,B.MINING,07 Oil and Gas Extraction,3.4,Mining
1985 Q1,B.MINING,08 Metal Ore Mining,37.3,Mining
1985 Q1,B.MINING,09 Non-Metallic Mineral Mining and Quarrying,11.1,Mining
1985 Q1,B.MINING,10 Exploration and Other Mining Support Services,13.1,Mining
1985 Q1,C.MANU,11Food Product Manufacturing,161.1,Manufacturing
1985 Q1,C.MANU,12Beverage and Tobacco Product Manufacturing,24.3,Manufacturing
1985 Q1,C.MANU,"13Textile, Leather, Clothing and Footwear Manufacturing",123,Manufacturing
1985 Q1,C.MANU,14Wood Product Manufacturing,51.6,Manufacturing
1985 Q1,C.MANU,"15Pulp, Paper and Converted Paper Product Manufacturing",31.4,Manufacturing
1985 Q1,C.MANU,16Printing (including the Reproduction of Recorded Media),49.6,Manufacturing
1985 Q1,C.MANU,17Petroleum and Coal Product Manufacturing,6.6,Manufacturing
1985 Q1,C.MANU,18 Basic Chemical and Chemical Product Manufacturing,42.4,Manufacturing
1985 Q1,C.MANU,19Polymer Product and Rubber Product Manufacturing,48,Manufacturing
1985 Q1,C.MANU,20Non-Metallic Mineral Product Manufacturing,51.3,Manufacturing
1985 Q1,C.MANU,21Primary Metal and Metal Product Manufacturing,87.8,Manufacturing
1985 Q1,C.MANU,22Fabricated Metal Product Manufacturing,106.2,Manufacturing
1985 Q1,C.MANU,23Transport Equipment Manufacturing,117.8,Manufacturing
1985 Q1,C.MANU,24Machinery and Equipment Manufacturing,129,Manufacturing
1985 Q1,C.MANU,25Furniture and Other Manufacturing,64.6,Manufacturing
1985 Q1,D.EGWWS,26Electricity Supply,81.5,"Electricity,Gas"
1985 Q1,D.EGWWS,27Gas Supply,9.2,"Electricity,Gas"
1985 Q1,D.EGWWS,"28Water Supply, Sewerage and Drainage Services",42.4,"Electricity,Gas"
1985 Q1,D.EGWWS,"29Waste Collection, Treatment and Disposal Services",9.2,"Electricity,Gas"
1985 Q1,E.Const,30 Building Construction,130.2,Construction
1985 Q1,E.Const,31 Heavy and Civil Engineering Construction,65.8,Construction
1985 Q1,E.Const,32 Construction Services,282,Construction
1985 Q1,F.Wholesale,"
33 Basic Material Wholesaling",118.1,Wholesale
1985 Q1,F.Wholesale,34 Machinery and Equipment Wholesaling,81.2,Wholesale
1985 Q1,F.Wholesale,35 Motor Vehicle and Motor Vehicle Parts Wholesaling,21.1,Wholesale
1985 Q1,F.Wholesale,"36 Grocery, Liquor and Tobacco Product Wholesaling",57,Wholesale
1985 Q1,F.Wholesale,37 Other Goods Wholesaling,74.3,Wholesale
1985 Q1,F.Wholesale,38 Commission-Based Wholesaling,4,Wholesale
1985 Q1,G.MVMVPR,39Motor Vehicle and Motor Vehicle Parts Retailing,7.2,Retail Trade
1985 Q1,G.MVMVPR,40 Fuel Retailing,31.4,Retail Trade
1985 Q1,G.MVMVPR,41 Food Retailing,187.2,Retail Trade
1985 Q1,G.MVMVPR,42 Other Store-Based Retailing,403.1,Retail Trade
1985 Q1,G.MVMVPR,43 Non-Store Retailing and Retail Commission Based Buying and/or Selling,1,Retail Trade
1985 Q1,H.AFS,44 Accommodation,57.8,Accommodation&Food
1985 Q1,H.AFS,45 Food and Beverage Services,267.1,Accommodation&Food
1985 Q1,I.TPW,46 Road Transport,146.8,Transport
1985 Q1,I.TPW,47 Rail Transport,77.1,Transport
1985 Q1,I.TPW,48 Water Transport,11,Transport
1985 Q1,I.TPW,49 Air and Space Transport,27.9,Transport
1985 Q1,I.TPW,50 Other Transport,15.8,Transport
1985 Q1,I.TPW,51 Postal and Courier Pick-up and Delivery Services,69.8,Transport
1985 Q1,I.TPW,52 Transport Support Services,44.4,Transport
1985 Q1,I.TPW,53 Warehousing and Storage Services,8.4,Transport
1985 Q1,J.IMT,54 Publishing (except Internet and Music Publishing),41.3,Media&telecom
1985 Q1,J.IMT,55 Motion Picture and Sound Recording Activities,17.1,Media&telecom
1985 Q1,J.IMT,56 Broadcasting (except Internet),13.3,Media&telecom
1985 Q1,J.IMT,57 Internet Publishing and Broadcasting,0,Media&telecom
1985 Q1,J.IMT,58 Telecommunications Services,75.6,Media&telecom
1985 Q1,J.IMT,"59 Internet Service Providers, Web Search Portals and Data Processing Services",7.2,Media&telecom
1985 Q1,J.IMT,60 Library and Other Information Services,5.6,Media&telecom
1985 Q1,K.FIS,62 Finance,175.5,Financial
1985 Q1,K.FIS,63 Insurance and Superannuation Funds,57.6,Financial
1985 Q1,K.FIS,64 Auxiliary Finance and Insurance Services,33,Financial
1985 Q1,L.RHRES,66 Rental and Hiring Services (except Real Estate),24.7,Retal&Realestate
1985 Q1,L.RHRES,67 Property Operators and Real Estate Services,62.4,Retal&Realestate
1985 Q1,M.PSTS,"69 Professional, Scientific and Technical Services (Except Computer System)
Design and Related Services)",250.5,Professional&Scientific
1985 Q1,M.PSTS,70 Computer System Design and Related Services,13.9,Professional&Scientific
1985 Q1,N.ASS,72 Administrative Services,61.5,Administrative
1985 Q1,N.ASS,"73 Building Cleaning, Pest Control and Other Support Services",60.2,Administrative
1985 Q1,O.PAS,75 Public Administration,286.8,Public
1985 Q1,O.PAS,76 Defence,27.1,Public
1985 Q1,O.PAS,"77 Public Order, Safety and Regulatory Services",73.1,Public
1985 Q1,P.EDUTRA,80 Preschool and School Education,317.9,Education
1985 Q1,P.EDUTRA,81 Tertiary Education,89.5,Education
1985 Q1,P.EDUTRA,"82 Adult, Community and Other Education",23.9,Education
1985 Q1,Q.HCSA,84 Hospitals,221.7,Healthcare
1985 Q1,Q.HCSA,85 Medical and Other Health Care Services,129.1,Healthcare
1985 Q1,Q.HCSA,86 Residential Care Services,109.6,Healthcare
1985 Q1,Q.HCSA,87 Social Assistance Services,80.6,Healthcare
1985 Q1,R.ARS,89 Heritage Activities,73.2,Arts
1985 Q1,R.ARS,90 Creative and Performing Arts Activities,8.1,Arts
1985 Q1,R.ARS,91 Sports and Recreation Activities,37.1,Arts
1985 Q1,R.ARS,92 Gambling Activities,19.4,Arts
1985 Q1,S.Other,94 Repair and Maintenance,157.7,Other
1985 Q1,S.Other,95 Personal and Other Services,110,Other
1985 Q1,S.Other,96 Private Households Employing Staff and Undifferentiated Goods- and Service- Producing Activities of Households for Own Use,13.2,Other
1985 Q2,A.AFF,01 Agriculture,360,Agriculture
1985 Q2,A.AFF,02 Aquaculture,3.4,Agriculture
1985 Q2,A.AFF,03 Forestry and Logging,9.5,Agriculture
