Date,01 Agriculture,02 Aquaculture,03 Forestry and Logging,"04 Fishing, Hunting and Trapping","05 Agriculture, Forestry and Fishing Support Services",06 Coal Mining,07 Oil and Gas Extraction,08 Metal Ore Mining,09 Non-Metallic Mineral Mining and Quarrying,10 Exploration and Other Mining Support Services,11Food Product Manufacturing, 12Beverage and Tobacco Product Manufacturing,"13Textile, Leather, Clothing and Footwear Manufacturing",14Wood Product Manufacturing,"15Pulp, Paper and Converted Paper Product Manufacturing",16Printing (including the Reproduction of Recorded Media),17Petroleum and Coal Product Manufacturing,18 Basic Chemical and Chemical Product Manufacturing,19Polymer Product and Rubber Product Manufacturing, 20Non-Metallic Mineral Product Manufacturing,21Primary Metal and Metal Product Manufacturing,22Fabricated Metal Product Manufacturing,23Transport Equipment Manufacturing,24Machinery and Equipment Manufacturing,25Furniture and Other Manufacturing,26Electricity Supply,27Gas Supply,"28Water Supply, Sewerage and Drainage Services","29Waste Collection, Treatment and Disposal Services",30 Building Construction,31 Heavy and Civil Engineering Construction,32 Construction Services,"
33 Basic Material Wholesaling",34 Machinery and Equipment Wholesaling,35 Motor Vehicle and Motor Vehicle Parts Wholesaling,"36 Grocery, Liquor and Tobacco Product Wholesaling",37 Other Goods Wholesaling,38 Commission-Based Wholesaling,39Motor Vehicle and Motor Vehicle Parts Retailing,40 Fuel Retailing,41 Food Retailing,42 Other Store-Based Retailing,43 Non-Store Retailing and Retail Commission Based Buying and/or Selling,44 Accommodation,45 Food and Beverage Services,46 Road Transport,47 Rail Transport,48 Water Transport,49 Air and Space Transport,50 Other Transport,51 Postal and Courier Pick-up and Delivery Services,52 Transport Support Services,53 Warehousing and Storage Services,54 Publishing and Broadcasting ,55 Motion Picture and Sound Recording Activities,56 Broadcasting (except Internet),58 Telecommunications Services,"59 Internet Service Providers, Web Search Portals and Data Processing Services",60 Library and Other Information Services,62 Finance,63 Insurance and Superannuation Funds,64 Auxiliary Finance and Insurance Services,66 Rental and Hiring Services (except Real Estate),67 Property Operators and Real Estate Services,"69 Professional, Scientific and Technical Services (Except Computer System)
Design and Related Services)",70 Computer System Design and Related Services,72 Administrative Services,"73 Building Cleaning, Pest Control and Other Support Services",75 Public Administration,76 Defence,"77 Public Order, Safety and Regulatory Services",80 Preschool and School Education,81 Tertiary Education,"82 Adult, Community and Other Education",84 Hospitals,85 Medical and Other Health Care Services,86 Residential Care Services,87 Social Assistance Services,89 Heritage Activities,90 Creative and Performing Arts Activities,91 Sports and Recreation Activities,92 Gambling Activities,94 Repair and Maintenance,95 Personal and other services (include activities for own use) ,96 Total
Nov-84,368.5174193,4.000401545,9.700429345,8.900369113,19.60161236,33.50306873,2.901861007,34.10670735,10.60087877,12.90239383,160.9131923,24.80202317,123.4019521,52.80278302,32.30107645,49.8020973,6.900534364,42.10316603,48.1022641,55.30221776,89.70469808,100.8043104,118.8041174,126.7069915,65.50397221,87.504017,10.30074749,45.00199692,9.202715063,126.9189267,57.90665947,263.5473082,117.705583,78.30690503,20.30166487,58.10393514,69.50575136,4.100586874,60.20675677,30.00233205,199.4243244,411.4430287,1.001590737,58.60602781,270.9507893,144.217702,70.00305329,12.50053745,30.80335908,15.2004973,67.40606179,38.60540542,8.704216224,41.50159228,16.50235367,12.90180078,73.20566333,7.000569886,7.000906566,166.0117792,60.80644171,34.9098394,22.90229653,57.11086489,244.2554534,13.91591972,60.81432435,61.21389501,282.3371337,26.40162935,73.21217454,326.1394132,106.315563,26.71253284,226.0295306,118.332936,111.6162317,80.92944407,9.302409271,7.802883403,35.20822087,18.30194749,152.2142162,124.8170162,6575.9
Feb-85,362.5152419,3.700351352,12.80037568,8.300322974,17.50141081,30.40268514,3.401628381,37.30586893,11.10076892,13.1020946,161.1115433,24.30177027,123.0017081,51.60243514,31.40094189,49.60183514,6.600467569,42.40277028,48.00198108,51.30194054,87.80411082,106.2037716,117.8036027,129.0061176,64.60347568,81.50351487,9.200654056,42.4017473,9.20237568,130.2165608,65.80582704,282.0413947,118.1048851,81.2060419,21.10145676,57.00344325,74.30503244,4.000513514,62.80591217,31.40204054,187.2212838,403.1376501,1.001391895,57.80527433,267.1444406,146.8154892,77.10267163,11.00047027,27.9029392,15.80043514,69.80530406,44.40472974,8.403689196,41.30139325,17.10205946,13.30157568,75.60495541,7.20049865,5.600793245,175.5103068,57.6056365,33.00860948,24.70200946,62.40950677,250.5485217,13.91392976,61.51253381,60.21215813,286.832492,27.10142568,73.11065272,317.9344866,89.51361759,23.91096624,221.7258392,129.128819,109.6142027,80.62576356,8.602108112,8.102522978,37.10719326,19.40170406,157.7124392,123.2148892,6595.9
May-85,360.0152419,3.400351352,9.500375677,7.400322974,14.00141081,33.40268514,2.601628381,35.40586893,11.20076892,10.4020946,156.1115433,24.40177027,116.9017081,49.60243514,31.20094189,48.20183514,8.200467569,40.80277028,48.30198108,47.10194054,89.90411082,109.3037716,120.5036027,127.7061176,61.80347568,80.90351487,10.30065406,42.4017473,9.50237568,142.3165608,61.70582704,288.0413947,112.9048851,85.3060419,22.20145676,52.90344325,70.20503244,3.700513514,66.10591217,33.00204054,193.2212838,413.8376501,1.001391895,58.90527433,269.6444406,147.2154892,73.60267163,9.200470271,29.6029392,15.00043514,72.00530406,48.40472974,9.203689196,40.10139325,17.70205946,13.90157568,78.10495541,7.50049865,7.200793245,184.6103068,59.9056365,34.30860948,21.70200946,68.70950677,258.2485217,14.41392976,65.21253381,61.01215813,291.732492,22.90142568,75.21065272,319.1344866,110.0136176,27.71096624,218.7258392,125.928819,107.6142027,75.92576356,9.702108112,8.402522978,37.20719326,19.10170406,164.8124392,121.7148892,6658.2
Aug-85,373.9130645,2.900301159,7.700322009,6.500276835,22.70120927,37.20230155,2.301395755,37.10503051,13.10065907,12.00179537,158.4098942,21.10151738,120.2014641,46.70208726,31.70080734,45.70157298,6.700400773,43.40237452,56.80169807,44.80166332,79.70352356,103.3032328,113.603088,123.3052436,61.30297916,81.40301275,10.50056062,46.80149769,9.302036297,140.614195,53.3049946,282.7354811,115.6041873,85.30517877,22.20124865,54.20295136,74.40431352,4.000440155,66.20506758,33.10174904,196.7182433,400.5322715,1.101193053,55.80452086,263.838092,159.1132765,74.10228997,5.60040309,33.10251931,14.00037297,73.40454634,49.40405406,8.603162168,38.00119421,18.80176525,14.80135058,79.0042475,7.600427414,7.600679924,187.7088344,64.30483128,30.90737955,24.8017224,69.40814866,258.64159,14.91193979,62.61074326,62.51042126,290.4278502,24.10122201,74.50913091,335.7295599,103.5116722,26.10939963,223.3221479,131.724702,108.9121738,72.52208305,9.701806953,8.902162552,36.40616565,17.90146062,163.7106622,119.5127622,6675.8
Nov-85,391.9130645,3.800301159,9.400322009,8.400276835,20.10120927,37.30230155,2.301395755,41.90503051,13.20065907,14.00179537,161.6098942,20.00151738,118.1014641,45.10208726,28.90080734,48.50157298,7.500400773,42.60237452,54.90169807,50.20166332,83.00352356,106.8032328,121.203088,134.0052436,62.70297916,85.80301275,10.40056062,47.80149769,8.802036297,142.214195,53.9049946,280.9354811,111.4041873,86.10517877,23.40124865,56.80295136,79.00431352,3.200440155,70.80506758,35.50174904,211.5182433,420.1322715,1.101193053,60.10452086,284.338092,152.3132765,68.50228997,7.70040309,33.00251931,13.20037297,69.80454634,51.60405406,10.10316217,40.30119421,19.60176525,15.30135058,74.9042475,7.400427414,7.800679924,186.0088344,67.80483128,36.40737955,26.9017224,70.50814866,263.94159,16.11193979,68.91074326,65.11042126,285.0278502,24.80122201,72.00913091,340.1295599,112.7116722,29.00939963,236.5221479,130.824702,115.4121738,76.62208305,10.60180695,9.202162552,41.40616565,21.30146062,173.9106622,128.3127622,6881.8
Feb-86,382.9130645,3.700301159,8.800322009,8.400276835,16.70120927,37.00230155,4.101395755,39.70503051,13.70065907,14.70179537,160.7098942,21.40151738,124.2014641,43.80208726,30.70080734,53.30157298,6.400400773,46.00237452,54.30169807,55.20166332,88.60352356,106.9032328,115.103088,126.4052436,61.40297916,87.80301275,9.500560619,52.70149769,8.702036297,133.714195,57.8049946,276.9354811,115.7041873,81.40517877,23.20124865,52.20295136,78.60431352,3.100440155,71.80506758,36.20174904,208.9182433,419.1322715,1.101193053,60.50452086,282.038092,148.1132765,71.60228997,8.30040309,33.60251931,14.00037297,69.80454634,48.40405406,10.80316217,44.50119421,17.10176525,13.30135058,75.0042475,7.400427414,8.300679924,202.0088344,66.30483128,34.30737955,24.3017224,65.10814866,277.14159,15.61193979,67.11074326,64.41042126,296.2278502,27.90122201,71.30913091,310.9295599,101.5116722,26.40939963,243.5221479,136.124702,118.7121738,78.52208305,10.60180695,8.102162552,37.50616565,19.70146062,173.4106622,129.6127622,6861.9
May-86,394.0152419,3.600351352,9.700375677,8.100322974,18.60141081,32.80268514,3.301628381,42.10586893,13.10076892,12.4020946,165.9115433,18.40177027,124.3017081,49.00243514,31.10094189,50.40183514,7.000467569,46.70277028,54.90198108,56.50194054,77.00411082,106.8037716,115.0036027,124.3061176,63.60347568,86.10351487,10.70065406,47.2017473,8.50237568,141.8165608,64.60582704,289.8413947,120.2048851,85.7060419,24.40145676,55.60344325,73.00503244,3.500513514,74.90591217,37.70204054,214.1212838,431.1376501,1.201391895,59.50527433,288.5444406,157.2154892,66.90267163,7.900470271,31.5029392,13.60043514,71.50530406,51.20472974,11.7036892,42.00139325,17.60205946,13.80157568,76.30495541,7.60049865,8.800793245,208.6103068,60.7056365,32.90860948,23.90200946,60.10950677,275.7485217,17.21392976,71.11253381,67.61215813,300.932492,28.00142568,71.51065272,319.2344866,112.1136176,28.21096624,245.9258392,141.628819,120.0142027,80.32576356,10.90210811,8.302522978,37.50719326,19.40170406,180.3124392,132.4148892,6979.3
Aug-86,372.8130645,3.800301159,8.600322009,8.700276835,20.70120927,32.20230155,1.501395755,37.40503051,11.60065907,12.80179537,154.2098942,19.00151738,130.2014641,49.00208726,28.40080734,52.60157298,6.000400773,45.00237452,52.10169807,52.30166332,75.20352356,101.1032328,118.103088,119.1052436,67.40297916,84.20301275,9.600560619,43.70149769,9.702036297,138.414195,61.8049946,298.1354811,125.6041873,83.60517877,23.60124865,46.50295136,77.00431352,3.500440155,72.30506758,36.40174904,212.6182433,417.7322715,1.201193053,59.90452086,291.738092,171.8132765,73.30228997,6.10040309,35.10251931,14.90037297,74.40454634,49.50405406,11.20316217,44.00119421,17.40176525,13.70135058,79.0042475,7.700427414,8.400679924,202.1088344,65.10483128,39.90737955,22.1017224,63.00814866,270.64159,16.41193979,68.31074326,64.71042126,284.9278502,30.40122201,77.90913091,338.7295599,114.2116722,29.00939963,225.7221479,155.224702,110.4121738,76.22208305,10.80180695,8.302162552,38.50616565,20.30146062,174.5106622,127.9127622,6919.1
Nov-86,380.5130645,5.100301159,8.100322009,11.50027683,22.40120927,34.40230155,2.701395755,38.70503051,11.70065907,12.30179537,160.7098942,19.50151738,117.0014641,49.20208726,30.10080734,52.50157298,6.400400773,41.10237452,45.80169807,51.70166332,80.70352356,110.5032328,114.203088,122.8052436,66.80297916,81.80301275,8.400560619,42.90149769,10.3020363,146.214195,58.3049946,291.2354811,119.5041873,79.70517877,22.50124865,53.60295136,90.70431352,3.500440155,70.50506758,35.60174904,212.9182433,457.1322715,1.201193053,63.80452086,293.938092,180.5132765,70.60228997,6.40040309,34.50251931,14.10037297,70.70454634,48.20405406,8.603162168,43.80119421,18.70176525,14.70135058,73.9042475,7.500427414,6.300679924,194.5088344,62.40483128,43.00737955,24.0017224,67.40814866,284.54159,17.51193979,72.01074326,69.91042126,292.1278502,26.10122201,82.70913091,345.6295599,118.8116722,30.30939963,230.8221479,149.524702,113.7121738,81.72208305,9.601806953,8.902162552,41.20616565,21.60146062,171.0106622,136.1127622,7034
Feb-87,380.0130645,5.900301159,8.000322009,13.10027683,14.70120927,39.00230155,3.301395755,38.20503051,13.00065907,11.80179537,163.0098942,21.00151738,113.9014641,44.60208726,29.50080734,51.90157298,5.800400773,41.30237452,47.50169807,56.40166332,75.20352356,106.4032328,126.703088,129.2052436,62.00297916,76.80301275,11.70056062,46.10149769,10.1020363,150.314195,60.1049946,300.1354811,119.1041873,82.30517877,22.40124865,55.30295136,87.60431352,3.600440155,68.20506758,34.20174904,209.8182433,445.2322715,1.201193053,63.60452086,292.738092,171.8132765,65.80228997,6.60040309,32.60251931,14.40037297,68.20454634,50.70405406,7.303162168,43.30119421,19.70176525,15.50135058,71.3042475,7.300427414,5.900679924,196.1088344,65.40483128,43.60737955,22.1017224,64.90814866,297.24159,17.71193979,73.21074326,70.21042126,297.9278502,24.10122201,81.90913091,322.8295599,111.2116722,28.90939963,240.6221479,156.524702,117.4121738,78.92208305,9.401806953,9.402162552,42.40616565,22.00146062,169.6106622,135.9127622,7022.1
