"","01 Agriculture","02 Aquaculture","03 Forestry and Logging","04 Fishing, Hunting and Trapping","05 Agriculture, Forestry and Fishing Support Services","06 Coal Mining","07 Oil and Gas Extraction","08 Metal Ore Mining","09 Non-Metallic Mineral Mining and Quarrying","10 Exploration and Other Mining Support Services","11Food Product Manufacturing","12Beverage and Tobacco Product Manufacturing","13Textile, Leather, Clothing and Footwear Manufacturing","14Wood Product Manufacturing","15Pulp, Paper and Converted Paper Product Manufacturing","16Printing (including the Reproduction of Recorded Media)","17Petroleum and Coal Product Manufacturing","18 Basic Chemical and Chemical Product Manufacturing","19Polymer Product and Rubber Product Manufacturing","20Non-Metallic Mineral Product Manufacturing","21Primary Metal and Metal Product Manufacturing","22Fabricated Metal Product Manufacturing","23Transport Equipment Manufacturing","24Machinery and Equipment Manufacturing","25Furniture and Other Manufacturing","26Electricity Supply","27Gas Supply","28Water Supply, Sewerage and Drainage Services","29Waste Collection, Treatment and Disposal Services","30 Building Construction","31 Heavy and Civil Engineering Construction","32 Construction Services","
33 Basic Material Wholesaling","34 Machinery and Equipment Wholesaling","35 Motor Vehicle and Motor Vehicle Parts Wholesaling","36 Grocery, Liquor and Tobacco Product Wholesaling","37 Other Goods Wholesaling","38 Commission-Based Wholesaling","39Motor Vehicle and Motor Vehicle Parts Retailing","40 Fuel Retailing","41 Food Retailing","42 Other Store-Based Retailing","43 Non-Store Retailing and Retail Commission Based Buying and/or Selling","44 Accommodation","45 Food and Beverage Services","46 Road Transport","47 Rail Transport","48 Water Transport","49 Air and Space Transport","50 Other Transport","51 Postal and Courier Pick-up and Delivery Services","52 Transport Support Services","53 Warehousing and Storage Services","54 Publishing and Broadcasting","55 Motion Picture and Sound Recording Activities","56 Broadcasting (except Internet)","58 Telecommunications Services","59 Internet Service Providers, Web Search Portals and Data Processing Services","60 Library and Other Information Services","62 Finance","63 Insurance and Superannuation Funds","64 Auxiliary Finance and Insurance Services","66 Rental and Hiring Services (except Real Estate)","67 Property Operators and Real Estate Services","69 Professional, Scientific and Technical Services (Except Computer System)
Design and Related Services)","70 Computer System Design and Related Services","72 Administrative Services","73 Building Cleaning, Pest Control and Other Support Services","75 Public Administration","76 Defence","77 Public Order, Safety and Regulatory Services","80 Preschool and School Education","81 Tertiary Education","82 Adult, Community and Other Education","84 Hospitals","85 Medical and Other Health Care Services","86 Residential Care Services","87 Social Assistance Services","89 Heritage Activities","90 Creative and Performing Arts Activities","91 Sports and Recreation Activities","92 Gambling Activities","94 Repair and Maintenance","95 Personal and other services (include activities for own use)"
"shares",0.0192211719943115,0.000482170932409767,0.000504684750265475,0.000452152508602155,0.00204875742486951,0.00313880143938342,0.00167727943025032,0.00915749541280961,0.00110692937790569,0.00567160594815068,0.0152118362645073,0.00276544729327625,0.00250466223644762,0.00287801638255479,0.00138835210110205,0.00210691812099676,0.00036584954015527,0.00353279325185833,0.00218196418051579,0.00253655681174321,0.00480482396070588,0.00577667043147732,0.00568473900856651,0.00874286593396697,0.00487987002022491,0.0052138249850846,0.000908057320180261,0.00240147390460895,0.00307125998581629,0.023127319392277,0.00811060288251915,0.0552507851693977,0.0064126857859011,0.00685920984003932,0.00180673388292064,0.00486298465683313,0.00589674412670777,0.000527198568121184,0.00742393143792002,0.00276732344476422,0.0310127840962391,0.0518155517949141,0.00237145548080134,0.00739954146857634,0.0575922222263914,0.0208365384254586,0.00328514125544553,0.000784231321973861,0.00343710952597156,0.00075421289816625,0.00790610237032979,0.00642394269482895,0.00663031935850628,0.00171855476298578,0.00285362641321111,0.00215757421117211,0.00604308394276988,0.00076734595858208,0.00126264995140768,0.0174331996262706,0.00925693144167233,0.0141724483401688,0.00265850665846163,0.0146883899993621,0.0700892672877979,0.0235475773255836,0.0145720686071076,0.0174594657471023,0.0477180369451751,0.0025684513870388,0.0174876080194219,0.0504590942691077,0.0185870327913757,0.0156152088344221,0.0407593910762731,0.0445342078700803,0.0188478178482043,0.0428888230151255,0.00251216684239952,0.0037204084006559,0.00843705324142693,0.00212943193885247,0.0187727717886853,0.0215907513236249
"",-0.0144362118821308,-0.0194140853472326,-0.0193480953568186,-0.0194043809259505,-0.0188725843992581,-0.0186319210760641,-0.0191054865953264,-0.0172326261982985,-0.01916371248337,-0.0182301737547542,-0.0152861645471668,-0.0187056724934235,-0.0187891283070428,-0.0187347849549057,-0.0191326586595367,-0.0189269280509385,-0.0194334942010922,-0.0184611291553919,-0.0188182408657095,-0.0187153766434813,-0.0180710292581488,-0.0179080042388938,-0.0179545827073469,-0.0168522488968747,-0.0182301737547542,-0.0181408974489773,-0.0192355245987156,-0.0189346914393936,-0.0188764660847478,-0.0133553777424923,-0.0174965648698506,-0.00604108583988562,-0.0179526419360932,-0.0177915584474329,-0.0189114012812635,-0.0181331343070223,-0.0179817535206852,-0.0193345092039455,-0.0177216912329008,-0.0187833057993766,-0.011838019793126,-0.00682867600275475,-0.0188842294575327,-0.0177158689738356,-0.00573459194129375,-0.014304258351958,-0.0186785008932927,-0.0193325683255667,-0.018775542457932,-0.0192995734161709,-0.0174111726417731,-0.0179351750016119,-0.0179526419360932,-0.019086077996115,-0.0187153766434813,-0.0190103846031648,-0.0181797131949262,-0.0192335837280243,-0.019181180276224,-0.015323035293896,-0.0168949440199101,-0.0162176527097688,-0.0188628801881746,-0.0156723398028486,-0.00195416293638177,-0.0138928782870697,-0.0157887757237384,-0.0151930176397534,-0.00726515906928372,-0.018874525241929,-0.0151542065307593,-0.00648143491714004,-0.014494426896265,-0.0156432309073557,-0.00900534731555662,-0.00897430610739834,-0.0147893850513084,-0.00872209771987137,-0.0189133421269423,-0.0186163944896054,-0.0175373203542604,-0.0190026211912043,-0.0146341434832808,-0.0140248296459354
"",-0.0426544308716842,-0.0507109055109501,-0.0509194480919903,-0.0491791857652578,-0.0486315460612269,-0.0484731628636081,-0.0510807573551107,-0.0473129726997773,-0.0490996824335777,-0.0486327282205687,-0.0524972025981972,-0.0478889343887817,-0.0478993021332449,-0.0482068015136149,-0.0503605087168515,-0.0501991091051826,-0.0499885290851814,-0.0484896896294971,-0.0485132010145528,-0.0469151776623943,-0.0494262190168483,-0.0462511111569973,-0.0474238092865421,-0.0452382331580358,-0.0486357679968738,-0.0464999460118953,-0.0494329324406026,-0.0458243919543861,-0.047429999656943,-0.0390113982650901,-0.0464122562521894,-0.0269167168675443,-0.0469734463203255,-0.0497568861422724,-0.0490830876674623,-0.0479949257643569,-0.0506922119815888,-0.0502048105005405,-0.0451588397006637,-0.0494901364455721,-0.0338236151905765,-0.0276062935722295,-0.0500204157117922,-0.0512357892043856,-0.0335047936255419,-0.0415955710953092,-0.048798648622485,-0.0510794574854702,-0.0492990204444797,-0.048755033578054,-0.0473075006191599,-0.0464752850693045,-0.0485546543028663,-0.0495664874197588,-0.0504511842657794,-0.0464799598133195,-0.048022030012814,-0.0513938373604905,-0.050107421442193,-0.0401526139685074,-0.0456089253347439,-0.0435559837574816,-0.0474706290726109,-0.0435244354580357,-0.0202032055685489,-0.0447946142847311,-0.0434185613365915,-0.0439916777219736,-0.0399062109756302,-0.0481188774384204,-0.0416490593178591,-0.0385818981149092,-0.0485195400766261,-0.0484910458428045,-0.0376023044532039,-0.0372866676670675,-0.0404712927394074,-0.034039641081719,-0.0481308366143037,-0.0474682682757696,-0.0486754299814024,-0.0493952338715755,-0.0443858486254883,-0.040126046334378
"",-0.0874228751826174,-0.0955955502210825,-0.0958183976738154,-0.092234269636307,-0.0919545694796898,-0.0917810167353628,-0.097052944815752,-0.0911793457079398,-0.0933963840550456,-0.0925486555856999,-0.0989240620527561,-0.0922554800364711,-0.0905626444553032,-0.0918324457345901,-0.0945423880376133,-0.0974330681718206,-0.0952517889371308,-0.0908251302480749,-0.09220693750141,-0.0919592208057531,-0.0963229266545552,-0.0916715838923621,-0.0916984855120365,-0.0914345661452555,-0.0910465126187894,-0.0889309802790763,-0.0931346477655787,-0.0885922882401433,-0.0914477876212706,-0.0771690998176424,-0.0900203733190348,-0.0641565237031441,-0.0880685634994799,-0.0919458291765484,-0.0938341763385333,-0.0912519868787193,-0.0967911600454841,-0.0949403343409967,-0.0872987581799926,-0.0955675150219284,-0.0696404866493525,-0.0585302694673645,-0.0945488334338981,-0.0930144312602082,-0.0785570356459721,-0.087798396427038,-0.0930325961352179,-0.0950532297674416,-0.0928526855437453,-0.0936148962681957,-0.0920245455546221,-0.0889959000814047,-0.0925556603610516,-0.094695998605424,-0.0949607391627129,-0.0893563257823463,-0.0923481627272229,-0.0957578461016474,-0.0938612082709307,-0.0806912568677295,-0.0893809734625351,-0.085020332124765,-0.0905744263576485,-0.0850939650564072,-0.0513553179228649,-0.0871082355211143,-0.0814003808545389,-0.0881163530001386,-0.0857222551142999,-0.0907164500406048,-0.0786648366011773,-0.0840522814366934,-0.094759005658216,-0.0948765019483358,-0.0763018340942416,-0.0733531239510172,-0.0849618781295621,-0.0744061602494308,-0.0902041812265456,-0.0895928535079137,-0.093276440174525,-0.0938789747908094,-0.0825922009452723,-0.0865588135467332
"",-0.11839614569754,-0.126396657511009,-0.126836646756845,-0.121699888580056,-0.121294390915453,-0.12143006162068,-0.128758768497789,-0.12283163271022,-0.123309261674604,-0.122380574489738,-0.130358299393533,-0.124592130392769,-0.117481450715573,-0.122640155028687,-0.122623222423939,-0.128523984359438,-0.126087249204817,-0.120310286172999,-0.122556042414706,-0.122027599420693,-0.126892300243371,-0.121425497952369,-0.122180652423276,-0.120053241308155,-0.117603269143968,-0.118056454640355,-0.123300553770085,-0.119850765472611,-0.121503061809236,-0.100791275313119,-0.117333373256526,-0.08713911170214,-0.118815878201526,-0.120572985659291,-0.126385310885314,-0.119897181491368,-0.12861265833308,-0.125776301124986,-0.115414047015683,-0.125610816098021,-0.0947494289636685,-0.0785686806185307,-0.125054117462311,-0.119779954001698,-0.104793889494356,-0.120849526765348,-0.123841919258415,-0.126049197221138,-0.124159203384399,-0.123563488521011,-0.124226546945484,-0.115755573518033,-0.122842649385972,-0.125611002270331,-0.127193799969558,-0.117262388111813,-0.125138922426455,-0.126102512073677,-0.123198277249537,-0.103171125625481,-0.118641920645831,-0.113354846367236,-0.120455507441192,-0.111493689028637,-0.0725495757242693,-0.116122459652956,-0.107657439508915,-0.120809302664472,-0.117641643892032,-0.118886736466759,-0.101861019641226,-0.120861769965005,-0.124075433872704,-0.127748051219722,-0.101402729115903,-0.0962525355483344,-0.112703657445281,-0.0975607899905945,-0.118962593066671,-0.11846322816045,-0.122894767095608,-0.124276745112414,-0.109385904770625,-0.117319583435788
"",-0.134647689276999,-0.144367797004209,-0.145098604470566,-0.138943073472168,-0.138980688699448,-0.139775053389136,-0.147442366458279,-0.141877442427079,-0.140810164514902,-0.1389120323327,-0.151482639800435,-0.145003728556165,-0.132579048240118,-0.141638093406839,-0.139739488903621,-0.145084830883113,-0.144580454574989,-0.136621675719175,-0.140645659740688,-0.140723513237312,-0.145576873732476,-0.138403501092959,-0.137991818907679,-0.137214523631797,-0.132368962758786,-0.134861490817432,-0.140135581823016,-0.139275876378982,-0.140251418875613,-0.114649837665321,-0.132870663632712,-0.0986493739414065,-0.137945378600619,-0.13931918325602,-0.146464855407802,-0.136808047208387,-0.147630364583471,-0.143587989109014,-0.130343259083451,-0.144088623353031,-0.108109696346226,-0.092363036327364,-0.144158315300023,-0.136132927274409,-0.120577054486605,-0.140428849887468,-0.141896975488319,-0.143047813074542,-0.143391204648759,-0.141686382441881,-0.142952479638213,-0.130872434402125,-0.141445706660821,-0.143123699239505,-0.146404993696742,-0.132333216612035,-0.144245354396386,-0.145178515007597,-0.139818692498513,-0.114463629123091,-0.135750474072839,-0.128046991970654,-0.139496329887766,-0.125946543516094,-0.0847718434685072,-0.134828287543303,-0.123007925885637,-0.136939136448419,-0.138738135472375,-0.133933785437548,-0.11494265657312,-0.146969926737902,-0.144495649736201,-0.148944596856334,-0.114261151051954,-0.110063310863247,-0.12881557573017,-0.109863426661341,-0.134236858740006,-0.135895586205566,-0.140221327035625,-0.142350189991489,-0.124073207586038,-0.137876647693667
"",-0.149940090932928,-0.160637524567441,-0.160876764151758,-0.155408841595707,-0.154932521970752,-0.156702414872805,-0.164054922987583,-0.160249183478351,-0.156728460442475,-0.154252458525207,-0.166619466758834,-0.164486067054477,-0.147325334013706,-0.160478822497724,-0.153532257955895,-0.159134820640917,-0.161372903265522,-0.149589521597832,-0.156628635239612,-0.15815796763102,-0.162595094955422,-0.154848823365807,-0.154181974801921,-0.152031220603333,-0.145995559553205,-0.151584747811349,-0.155967827736409,-0.158061938117144,-0.15747921396725,-0.127725985019606,-0.147186214374173,-0.109268604591787,-0.152809642160704,-0.157420294614641,-0.164282371451903,-0.152198526695808,-0.163262254405916,-0.159621350546013,-0.146047811936214,-0.160320132895598,-0.117906586028621,-0.104620586746006,-0.161460273131128,-0.150160572137389,-0.134879312216011,-0.159274095336138,-0.158026033378757,-0.158995735125751,-0.160650616281027,-0.158434548220062,-0.158956405328937,-0.144141682987308,-0.158477093878191,-0.159429890708386,-0.162768199476582,-0.148840173788725,-0.161538844370686,-0.160685944708125,-0.155628065351184,-0.125587345600368,-0.15071230101547,-0.139889723276787,-0.157795994322312,-0.138546764975098,-0.0986362012761487,-0.152315475689389,-0.138076549697864,-0.151055951665785,-0.159768949534438,-0.148470724475281,-0.129129840266581,-0.167663950026621,-0.161887882504444,-0.168082939127353,-0.127662207385039,-0.12274973629214,-0.144021240189857,-0.120496980656193,-0.148927281738498,-0.151274087411295,-0.156128336799435,-0.158194860002734,-0.136527126073717,-0.158588088771648
"",-0.158455474512204,-0.174093950545258,-0.173526016806292,-0.168633319107574,-0.168050921847503,-0.169837747754617,-0.177511539726706,-0.175504850435703,-0.169586149062659,-0.166073168971061,-0.181501998233441,-0.181824387706148,-0.159134778866949,-0.175719841843939,-0.16367881118622,-0.170854317109219,-0.174787220986923,-0.161592175808475,-0.170301389394412,-0.172679905830191,-0.17614058646024,-0.166150392159048,-0.166893489205155,-0.162522014345139,-0.156697025903625,-0.1673143152069,-0.169029377670335,-0.172643814461772,-0.172019136541657,-0.140262514398223,-0.158717451036234,-0.116725306139867,-0.167727056417786,-0.172977966323063,-0.177890754469299,-0.165003658414061,-0.17789237812121,-0.172416310972344,-0.158807458660702,-0.172466910542202,-0.126518938906224,-0.114323749363609,-0.176486737916785,-0.163915890159727,-0.143918831994096,-0.172486618572529,-0.171197307420149,-0.172222128046486,-0.174761354309444,-0.171425805354764,-0.170288153721481,-0.154185185306513,-0.172469708231274,-0.171897012707076,-0.17609148140758,-0.162291687806273,-0.17672959172503,-0.173824222080173,-0.168867941069681,-0.135319418379075,-0.16129700330357,-0.148230314395554,-0.174364988141543,-0.147671947903505,-0.11238797425713,-0.16735710727395,-0.149757129079236,-0.160794905689708,-0.177085348186477,-0.159131960511134,-0.13836189456609,-0.18799187280961,-0.176819988702748,-0.18409680578413,-0.138694250602515,-0.13685519744695,-0.155252627024421,-0.128821402948743,-0.161469434666494,-0.16468920166208,-0.169051797608865,-0.171354353824775,-0.147468430073013,-0.171375510519752
"",-0.163194035629505,-0.18500461526128,-0.183539581132301,-0.179519479348564,-0.178248703878262,-0.181126792801852,-0.188101570080695,-0.187373144227584,-0.180172743893327,-0.175927606368306,-0.194889330784533,-0.194652867907594,-0.169404120170943,-0.18731672478693,-0.173783281496294,-0.180190305867502,-0.18624039786573,-0.170685873180505,-0.18131080085007,-0.185360560612163,-0.188570693892417,-0.175623051258393,-0.175547952384215,-0.172141836402239,-0.165732843849035,-0.180384188520528,-0.179355419917315,-0.183187084964727,-0.183225706196748,-0.151678355530279,-0.169230987079552,-0.12348068811428,-0.177031589010919,-0.186110380007064,-0.188247022981608,-0.174254739504444,-0.189556248395984,-0.183231294947402,-0.17034319540094,-0.182700005730435,-0.134361140382187,-0.121167761067084,-0.189234185193898,-0.17763099078193,-0.15211129411099,-0.180752767839323,-0.180965290500599,-0.183030753844903,-0.185755661357764,-0.18277460775142,-0.179052920294018,-0.163639585339394,-0.183865610096981,-0.182545813449614,-0.1858873680937,-0.1737840458901,-0.188680252549836,-0.184020039759694,-0.179749982713763,-0.143811710831635,-0.169686028244664,-0.15277267877083,-0.188336862849265,-0.154731682751369,-0.122109234702133,-0.179468523156095,-0.157659093693185,-0.168155281444574,-0.190679994202424,-0.166916953890192,-0.146017320025253,-0.203647030109579,-0.187829489547798,-0.196334854531872,-0.148749679735588,-0.148559120782291,-0.167828094618535,-0.136042037231075,-0.171351960945034,-0.175331674875088,-0.180599440925145,-0.181491172093227,-0.155765529290484,-0.182855100578261
"",-0.16805047730695,-0.193611532137085,-0.191296197435272,-0.187726717835902,-0.186453848517012,-0.189300698967358,-0.196833400420913,-0.196917573125917,-0.188502563763507,-0.184370709135439,-0.205637315049286,-0.204502082358651,-0.177148200841861,-0.196483244919985,-0.180193898749881,-0.18801528880574,-0.195144468457711,-0.17841455995016,-0.190501677271277,-0.19367545577009,-0.198036953757537,-0.183366311855495,-0.183124552537171,-0.180419550773042,-0.171795731351994,-0.191476299907865,-0.187784751709981,-0.191654786278488,-0.192130729640479,-0.160027552604736,-0.17712083753957,-0.130017374047751,-0.183935402352337,-0.195571816289382,-0.195507470099724,-0.181841828811437,-0.199796345302857,-0.191769446071842,-0.179079363300904,-0.19024868099532,-0.139435225819421,-0.125069009329925,-0.198824124409363,-0.188407582764493,-0.159603303615695,-0.18659243463709,-0.188103039971764,-0.192014797789322,-0.193974284319713,-0.191513398827869,-0.186405572009688,-0.170459091677603,-0.191899457470469,-0.191110158970775,-0.193414976619326,-0.18418794723095,-0.199414815024119,-0.191357245252052,-0.188856074670763,-0.150626571825765,-0.177266616030548,-0.155993760634,-0.198819546735398,-0.160264728380784,-0.13080074743451,-0.188017223073709,-0.164807599778123,-0.176318715371525,-0.200849761029885,-0.172690429518501,-0.151578880875786,-0.216458439188736,-0.193680084337888,-0.205737724598109,-0.155900354775162,-0.157605880525645,-0.179481963957978,-0.143329137425144,-0.17990362130428,-0.183089094481021,-0.189726376306341,-0.189643242245604,-0.165579529836864,-0.190440104853808
