"","m5m0_div","m5m0_min"
"01 Agriculture",0.64832471351968,-0.00765743863639028
"02 Aquaculture",-0.970907856352022,-0.000989260679367191
"03 Forestry and Logging",-3.36835653074946,-0.0023444120848657
"04 Fishing, Hunting and Trapping",7.65320735410363,0.00306972901034706
"05 Agriculture, Forestry and Fishing Support Services",3.40246046049913,0.00484203390500964
"06 Coal Mining",1.06399293088269,0.000245471426902196
"07 Oil and Gas Extraction",-1.69777210576393,-0.00627571749645372
"08 Metal Ore Mining",0.633282697759821,-0.00307462609701775
"09 Non-Metallic Mineral Mining and Quarrying",0.43350016626253,-0.000622276115198331
"10 Exploration and Other Mining Support Services",-0.637382052562917,-0.00489951173935186
"11Food Product Manufacturing",0.501752464772176,-0.00821629085368133
"12Beverage and Tobacco Product Manufacturing",0.883656815348376,-0.000294227540774457
"13Textile, Leather, Clothing and Footwear Manufacturing",3.53763202391837,0.00619222600474676
"14Wood Product Manufacturing",0.955211601590987,-0.000155808590234811
"15Pulp, Paper and Converted Paper Product Manufacturing",1.07933417756779,0.000106749089795059
"16Printing (including the Reproduction of Recorded Media)",0.699631207016209,-0.00078745484232979
"17Petroleum and Coal Product Manufacturing",-0.845750737496315,-0.0012328783553129
"18 Basic Chemical and Chemical Product Manufacturing",2.70531006875719,0.00674882700729585
"19Polymer Product and Rubber Product Manufacturing",1.27153096797989,0.000768465574370838
"20Non-Metallic Mineral Product Manufacturing",1.09652730346008,0.000267593581780425
"21Primary Metal and Metal Product Manufacturing",0.841287319320667,-0.000932055804406051
"22Fabricated Metal Product Manufacturing",1.9672415367872,0.00521153733727881
"23Transport Equipment Manufacturing",1.08381384979294,0.000431367094430623
"24Machinery and Equipment Manufacturing",0.598617169796527,-0.00350784474937427
"25Furniture and Other Manufacturing",3.29886583515155,0.0114144678426209
"26Electricity Supply",1.12243021520162,0.000614752132223038
"27Gas Supply",2.42456061095122,0.00133105920223859
"28Water Supply, Sewerage and Drainage Services",0.805681289038278,-0.000485047448496053
"29Waste Collection, Treatment and Disposal Services",2.31835491787514,0.00447427108087949
"30 Building Construction",1.02831440875315,0.000669872102590757
"31 Heavy and Civil Engineering Construction",1.32581315308185,0.00271217959125201
"32 Construction Services",0.992189522927632,-0.000461874508794008
"
33 Basic Material Wholesaling",1.92690231530025,0.00646864544103442
"34 Machinery and Equipment Wholesaling",0.680444315844422,-0.00275817803482167
"35 Motor Vehicle and Motor Vehicle Parts Wholesaling",1.09997642956533,0.000208059457781629
"36 Grocery, Liquor and Tobacco Product Wholesaling",-0.167470364918751,-0.00574270315157554
"37 Other Goods Wholesaling",0.920906239663081,-0.000568621104470638
"38 Commission-Based Wholesaling",2.14566446261148,0.000840450456067218
"39Motor Vehicle and Motor Vehicle Parts Retailing",2.14411791869946,0.00966317675190517
"40 Fuel Retailing",-0.92922269094946,-0.00562380673193131
"41 Food Retailing",1.03259347864356,0.000991019844895687
"42 Other Store-Based Retailing",1.32970785746107,0.0177336068539186
"43 Non-Store Retailing and Retail Commission Based Buying and/or Selling",-0.508342858660993,-0.00299922035451965
"44 Accommodation",0.842890323596311,-0.00118378426793024
"45 Food and Beverage Services",1.05034954909672,0.00319652213922147
"46 Road Transport",0.507604546386328,-0.0108954586578737
"47 Rail Transport",0.295878988593497,-0.00268735507124658
"48 Water Transport",-0.429509845910297,-0.000960367541977462
"49 Air and Space Transport",1.29442325786992,0.0012362390388149
"50 Other Transport",2.58970932962431,0.000988199599109321
"51 Postal and Courier Pick-up and Delivery Services",0.186328110118066,-0.00616538288256655
"52 Transport Support Services",1.91356850598105,0.00617277209209608
"53 Warehousing and Storage Services",0.545124113624293,-0.00239732348866635
"54 Publishing and Broadcasting",1.50893340587895,0.00101295628265923
"55 Motion Picture and Sound Recording Activities",-0.190509138000881,-0.00350258577007551
"56 Broadcasting (except Internet)",4.27118763517926,0.00736334391112535
"58 Telecommunications Services",-0.19931365621724,-0.00849013835422196
"59 Internet Service Providers, Web Search Portals and Data Processing Services",-0.888706321789606,-0.00134543239029489
"60 Library and Other Information Services",3.87372210168418,0.00325652148689208
"62 Finance",0.750402743246962,-0.00367506168400986
"63 Insurance and Superannuation Funds",0.622543268465278,-0.00303933410533867
"64 Auxiliary Finance and Insurance Services",0.758646480412583,-0.00296846764818356
"66 Rental and Hiring Services (except Real Estate)",1.17298563332428,0.000496583268989341
"67 Property Operators and Real Estate Services",0.47427794535349,-0.00713988763383365
"69 Professional, Scientific and Technical Services (Except Computer System)
Design and Related Services)",0.962533153938766,-0.00259707948215088
"70 Computer System Design and Related Services",0.636757634498573,-0.00722839677989477
"72 Administrative Services",1.74805115231512,0.013394185003683
"73 Building Cleaning, Pest Control and Other Support Services",0.989271692396133,-0.000186337393531633
"75 Public Administration",0.232335921702576,-0.0356327234195109
"76 Defence",0.400075236892055,-0.00122185684736627
"77 Public Order, Safety and Regulatory Services",0.947672034321973,-0.000796336196478927
"80 Preschool and School Education",0.349160981501985,-0.0320645633525728
"81 Tertiary Education",-0.108710889290006,-0.0215685351349624
"82 Adult, Community and Other Education",0.303213476028504,-0.0109158948994664
"84 Hospitals",0.553437552435886,-0.0164840483473393
"85 Medical and Other Health Care Services",0.726418275005163,-0.0112633496729528
"86 Residential Care Services",0.780591246061525,-0.00445171902627877
"87 Social Assistance Services",0.847837977923249,-0.00560033697148694
"89 Heritage Activities",1.7539992040236,0.00227073557724401
"90 Creative and Performing Arts Activities",1.80872881165595,0.00291486410468295
"91 Sports and Recreation Activities",1.24093320692952,0.00247584929794424
"92 Gambling Activities",3.04853476653685,0.00498688673260561
"94 Repair and Maintenance",1.32812526496266,0.00583088589742694
"95 Personal and other services (include activities for own use)",0.751786659521256,-0.00527957502889928
