Date,labour_force
Feb-78,6468.5
Mar-78,6465.4
Apr-78,6457.6
May-78,6436.7
Jun-78,6424.8
Jul-78,6416.6
Aug-78,6403.7
Sep-78,6411.6
Oct-78,6416.2
Nov-78,6406.6
Dec-78,6570
Jan-79,6421.2
Feb-79,6508.8
Mar-79,6524.6
Apr-79,6508.2
May-79,6475.7
Jun-79,6488.7
Jul-79,6491
Aug-79,6456
Sep-79,6558.2
Oct-79,6555.4
Nov-79,6552.4
Dec-79,6688.1
Jan-80,6554.6
Feb-80,6655.8
Mar-80,6694.3
Apr-80,6632.8
May-80,6690
Jun-80,6679.2
Jul-80,6701.7
Aug-80,6675.9
Sep-80,6767.6
Oct-80,6698.7
Nov-80,6701.6
Dec-80,6862.3
Jan-81,6686.8
Feb-81,6784.2
Mar-81,6841.4
Apr-81,6805.8
May-81,6791.6
Jun-81,6767.6
Jul-81,6803.6
Aug-81,6774.3
Sep-81,6896.7
Oct-81,6819.3
Nov-81,6808.4
Dec-81,6944.4
Jan-82,6799.4
Feb-82,6921.2
Mar-82,6961.2
Apr-82,6871.6
May-82,6894.7
Jun-82,6865.9
Jul-82,6879.3
Aug-82,6840.7
Sep-82,6952.6
Oct-82,6961.7
Nov-82,6922
Dec-82,7047.6
Jan-83,6866.6
Feb-83,7014
Mar-83,7044.2
Apr-83,6963.7
May-83,6993.3
Jun-83,6959.7
Jul-83,6982.2
Aug-83,6928
Sep-83,7079
Oct-83,6989.3
Nov-83,7002.3
Dec-83,7146.4
Jan-84,6969.3
Feb-84,7101.9
Mar-84,7203.2
Apr-84,7153.2
May-84,7125.2
Jun-84,7131.5
Jul-84,7123.6
Aug-84,7070.1
Sep-84,7200.6
Oct-84,7131.5
Nov-84,7147.2
Dec-84,7263.4
Jan-85,7110.1
Feb-85,7269.8
Mar-85,7330.2
Apr-85,7204.1
May-85,7267
Jun-85,7267
Jul-85,7270.3
Aug-85,7248.2
Sep-85,7403.9
Oct-85,7305.8
Nov-85,7425
Dec-85,7502
Jan-86,7378.5
Feb-86,7527.1
Mar-86,7604.5
Apr-86,7606.5
May-86,7573.5
Jun-86,7571.5
Jul-86,7587.6
Aug-86,7516.2
Sep-86,7673.7
Oct-86,7621.4
Nov-86,7618.4
Dec-86,7772.6
Jan-87,7573.2
Feb-87,7721.9
Mar-87,7836.2
Apr-87,7761.6
May-87,7738.7
Jun-87,7732
Jul-87,7785.7
Aug-87,7694.3
Sep-87,7784.1
Oct-87,7762.8
Nov-87,7749.2
Dec-87,7951.3
Jan-88,7815.6
Feb-88,7892.1
Mar-88,8042.6
Apr-88,8028.2
May-88,7947.8
Jun-88,7947.3
Jul-88,7901.8
Aug-88,7892
Sep-88,8057.7
Oct-88,7985.2
Nov-88,7997
Dec-88,8186.2
Jan-89,8015.9
Feb-89,8164.2
Mar-89,8180.5
Apr-89,8193.4
May-89,8238.1
Jun-89,8187
Jul-89,8222.9
